index,body
51,"['نوشتن', 'میخواستم', 'واقعا', 'راضی', '#هست', '،', 'احتیاج', 'نصب', 'برنامه', 'نداره', 'بلافاصله', 'روشن', 'آماده', 'استفاده', '#هست', 'توجه', 'قیمت', 'قلم', 'اپل', 'قلم', 'گزینه', 'مناسب', '#هست', '.', 'سریع', 'شارژ', 'میشه', 'زمان', 'بالا', 'میشه', 'از', 'استفاده', '.']"
52,"['مدل', '۲۰۱۸', 'هستش']"
53,"['سلام', '،', 'جلد', 'خرید#خر', 'مشکل', 'داره', 'آیپد', 'داخل', 'نگه', 'نمیداره', 'هم', 'از', 'جدا', 'میشه']"
54,['استفاده']
55,"['درکل', 'همون', 'یه', 'تومن', 'بدین', 'قلم', 'سرفیس', 'اصل', 'روبگیرین', 'بهتره', 'مرجوع', 'میکنم']"
56,"['میاد', 'کیفیت', 'باشه', '؛', 'دیوایستون', 'از', 'پشتیبان', 'کنه', '.', 'برندی', 'بسته\u200cبند', 'نوشته', 'شد#شو', '،', 'یه', 'عبارت', 'Active', 'stylus', 'نوشته', 'برد#بر', 'برندش', 'سایت', 'نداره', '.', 'دکمه\u200c\u200cی', 'بدنه', '،', '۲', 'عملکرد', 'داره', ':', 'جعبه', 'نوشته', 'بالا', 'پاک\u200cکنه', 'پایین', 'عملکرد', 'کلیک', 'راست', 'موس', 'داره', '.', 'فرقاش', 'قلم', 'اصل', 'اینه', 'بالا', 'قلم', 'دکمه', 'شورت\u200cکات', 'نداره', '.', 'توسط', 'سرفیس', 'پرو', '۷+', 'ویندوز', '۱۱', '،', 'شناسایی', 'موس', 'با', 'برخورد', '،', 'یه', 'فایل', 'با', 'پایین', 'دکمه', 'جانبی', 'فشار', 'داد#ده', '(', 'مشابه', 'کلیک', 'چپ', 'موس', ')', 'بالا', 'دکمه', 'جانبی', 'عملکرد', 'کلیک', 'راست', '.', 'اینجوری', 'عملا', 'استفاده', 'قلم', 'پذیر', 'مجبور', 'شد#شو', 'مرجوع', '.', 'فهمید#فهم', 'مشکل', '۷پلاس', 'سرفیسه', 'وینوز', '۱۱.', 'تنظیمات', 'ویندوز', 'گشت#گرد', '،', 'کرد#کن', 'مشکل', 'کنه', '.']"
57,"['سرفیس', 'پرو', '۷', 'کار', 'اضافه', 'خودکار', 'دستگاه', 'وصل', '.', 'توجه', 'قیمت', 'نصف', 'قلم', 'اصل', 'ماکروسافت', '#هست', 'کارا', 'داره', 'عملا', 'اون', 'کمتر', '.', 'آهن', 'ربا', 'ضعیف', 'دستگاه', 'نمیچسبه']"
58,"['دوستان', 'تو', 'کاور', 'آهن', 'ربا', 'داره', 'قلم', 'تبلت', 'تاثیر', 'میذاره', '.']"
59,"['قیمت', 'خوبه', 'کیفیت', 'خوبه']"
60,"['انتخاب', '۵۰۰']"
61,"['مدل', 's۷', 'fe']"
62,"['ماه', 'استفاده', 'بگم', 'کیفیت', 'متوسط', 'داره', 'قسمت', 'قاب', 'ژله', 'فیکس', 'نمیشه']"
63,"['سلام', 'گارد', 'خریدار', 'تبلتt', '۵۵۵', 'جفت', 'نمیشه', 'یخورده', 'کوچیکه', 'گرنه', 'شکل', 'عالیی', 'داره']"
64,"['سلام', 'نظر', 'صرفه', 'میباشد']"
65,"['گوش', 'ساده', 'کار', 'ساده', 'خوبه']"
66,"['قبلا', 'برد#بر', 'کاکو', 'تبلتهای', 'مختلف', 'خرید', 'کرد#کن', '.', 'موارد', 'قاب', 'محکم', 'نشانه', 'برجسته', 'قاب', '.', 'محصول', 'ارسال', '،', 'قاب', 'جنس', 'پلاستیک', 'عادی', '.']"
67,"['امروز', 'دستم', '،', 'اصلا', 'درد', 'نمیخوره', 'نوک', 'قلم', 'لقه', 'داخل', 'فرو', 'میره', '،', 'برخلاف', 'قید', 'اصل', 'اصل', 'اینطور', '،', 'مرجوع', '.']"
68,"['نوک', 'قلم', 'شل', '-', 'خاطر', 'رنگ', 'تو', 'بازار', 'سخت', 'می\u200cشه', 'قطعا', 'مرجوع', 'کرد#کن']"
69,"['هفته', 'کارا', 'تاریخ', 'ساخت', '۲۰۱۹', '#هست', 'نمیشه', 'مطمئن']"
70,"['کالا', 'فرستاده', 'پار', 'نامبرLLA', 'آکبند', 'تجهیزات', 'اورجینال', 'ارسال', 'گارانتی', 'استعلام', 'معتبر', 'ارسال']"
71,"['اینمارک', 'استفاده', 'میکنم', 'عالیه']"
72,"['سرعت', 'کیفیت', 'ساخت', 'قیمت']"
73,['خووووبه']
74,"['کار', 'انداز']"
75,"['جنس', 'ضعیف', 'زود', 'پاره']"
76,"['i۵', 'ارزان', 'موجود', 'لطفا']"
77,"['استفاده', 'صنایع', 'الکترونیک', 'جهت', 'شستشو', 'پاکسازی', 'گردو', 'غبار', '،', 'چربی', 'باقی', 'مانده', 'روغن', 'لحیم', 'سطح', 'مدار', 'برد', 'الکترونیک', 'توجه', 'استفاده', 'دستگاه', 'برد', 'الکترونیک', 'خاموش', 'برق', 'جدا', 'شستشو', 'صبر', 'اسپری', 'خشک', 'تبخیر', 'بشه', 'جهت', 'سرعت', 'بخشیدن', 'میتوانید', 'سشوار', '.', 'استفاده', 'توجه', 'اسپری', 'داخل', 'صفحه', 'نمایش', 'دیجیتال', '،', 'رنگ', '،', 'سیاه', 'سفید', 'ال', 'ای', 'دی', 'ال', 'دی', 'جدا', 'خوددار', 'ایجاد', 'لک', 'سوختن', 'صفحه', 'نمایش', 'میشود', 'قیمت', 'توجه', 'فروش', 'بسته', '۹', 'عدد', '#هست', 'اسپری', 'دیجی', 'کالا', 'فروشنده', 'تاریخ', '۲۲/۷/۱۳۹۹', '۸', 'عدد', 'اسپری', 'قیمت', '۱۸۰', 'هزار', 'تومان', 'خرید#خر']"
78,"['مرسی', 'مرجوع', 'پول', 'واریز']"
79,"['تازه', 'گرفت#گیر', 'باشه']"
80,"['۳۲', 'گیگ', 'U۱', 'اوردن', '.', 'زشته', 'جنس', '۴۳۰', 'تومنی', 'جنس', '۲۰۰', 'هزار', 'تومنی', 'بیارن', '.', 'واقعا', 'دیجی', 'کالا', 'انتظار', 'داشت#دار']"
81,"['کارت', 'حافظه', 'موبایل', 'دوربین', '…', 'سامسونگ', 'گرفت#گیر', 'اصل', 'گارانتی']"
82,['صرفه']
83,"['کارت', 'حافظه', 'خراب', 'مبلغ', 'کسر', 'برگرداندند', 'ممنون']"
84,"['مموری', 'هفته', 'تحویل', 'گرفت#گیر', '،', 'منتهی', 'کار', 'نمیکرد', '،', 'مرجوع']"
85,"['کیف', '#هست', 'امیدوار', 'قیمت', 'موجود', 'بشه']"
86,"['تبلت', 'zenpad', '۳s', '۱۰', 'z', '۵۰۰', 'kl', 'نیستاااااا', 'اشاره', 'مدل', 'شد#شو', '…', 'من', 'گرفت#گیر', 'تبلت', 'z', '۵۰۰', 'kl', 'نمیخوره', 'حواستون\u200cباشه', 'خلاصه']"
87,"['داخل', 'عکس', 'میبینید', '.', 'کلا', 'برد#بر', '.', 'درضمن', 'کارتون', 'وضوح', 'نوشته', 'مینی', '۴.', 'باخت#باز', 'نمیدونم', 'فروشنده', 'نوشته', 'مینی', '۵.']"
88,"['تنوع', 'خوبه', 'یه', 'خورده', 'کج', 'کولس']"
89,"['ضمخته', '،', 'معمولی']"
90,"['خوبه', 'خودکار', 'روان', 'کار', 'نمیکنه']"
91,"['خرید#خر', 'راضی', '#هست']"
92,['.']
93,"['مدل', 'Z', '۵۰۰', 'M', 'هستش', 'دلیل', ':', 'سوراخ', 'هندفری', 'نداره', 'بلندگو', 'هاش', 'کوچیکه', 'سوراخ', 'شارژش', 'کوچیکه', 'اون', 'کارک', 'ایسوس', 'نوشته', 'جلد', '،', 'برعکسه', 'جهت', 'درست', 'دست', 'میگیریش', '،', 'کار', 'اندازه']"
94,"['zenpad', '۱۰', 'گرفت#گیر']"
95,"['واس', 'گوش', 's۶جواب', 'نمیده']"
96,['نوک']
97,"['دستم', 'ترک', 'عودت', 'داد#ده', 'پول', 'یه', 'حساب', 'واریز']"
98,"['محض', 'لایه', 'گذاشتن', 'صفحه', 'کلا', 'خرد', '.', 'کیفیت', 'کیفیت']"
99,"['یه', 'دکمه', 'هاش', 'مرتب', 'منظم', '.', 'خوبه']"
100,"['سلام', 'باتوجه', 'جنس', 'کیف', '،', 'قیمت']"
101,"['زیبا', 'شکیل', 'اعتماد', '.', 'میتوانید', 'ابپد', 'گیره', 'قرار', 'داد#ده', 'خیال', 'راحت', 'استفاده', 'لرزش', 'داره', 'اگه', 'قلم', 'ایپد', 'تبلت', 'کار', 'لرزش', 'میشود', '.', 'ارتفاع', 'مناسب', '.', 'پیشنهاد', 'میکنم', 'امیدوار', 'لذت', 'ببرید']"
102,"['کیفیت', 'سرعت', 'داره']"
103,"['بو', 'همون', 'قدیمارو', 'میده']"
104,"['محکم', 'ساخت#ساز']"
105,"['سلام', '،', 'اردیبهشت', 'خرید', 'دهم', 'دستم', 'رسیده', 'شکل', 'بسته', 'عکس', 'گذاشته', 'سرعت', 'write', 'نوشته', 'بسته', 'کمتر', 'مشخصات', 'عنوان', 'قسمت', 'توضیحات', '،', 'تونس', 'عکس', 'میگذارم', '،', 'سرعت', 'استفاده', 'گوش', 'مطلوب', '.', 'بدلیل', 'ضد', 'مغناطیس', 'اشعه', 'ایکس', 'بودن', 'دردسر', 'مرجوع', '،', 'نگه', 'میدارمش', 'الان', 'دید#بین', '۵۰', 'تومن', 'بنده', 'خرید', 'قیمت', 'ر', 'برد#بر', 'بالا', '۹۰۰', 'تومن', 'تاریخ', 'گارانتی', 'برچسب', 'زد#زن', '،', 'گارانتی', 'ر', 'تمدید', 'کرد#کن', 'تمدید', 'جدید', '#هست', 'برچسب', 'هولوگرام', 'زد#زن', '!', 'انشاالله', 'ایراد', 'نکنه', 'وگرنه', 'گارانتی', 'ممکنه', 'داستان', 'بشه', '.', 'دیجی', 'کلا', 'لطفا', 'رسیدگی', 'فرمود#فرما']"
106,"['خرید#خر', 'سرعت', 'خواندن', '۱۲۰', 'عدد', '۷۰', 'عودت', 'داد#ده', '.']"
107,"['اصلا', '،', '.', '👌🏻', 'کیفیت', 'ساخت', 'بی\u200cنظیره', 'درب', 'هوشمنده', 'می\u200cتونه', 'روشن', 'صفحه', 'کنترل', 'کنه', '.', 'مدت', 'خریدام', '.']"
108,['کیفیت']
109,"['سرفیس', 'گرفت#گیر', 'اندازه', 'سانت', 'بزرگه', 'خب', 'میشه', 'استفاده']"
110,"['کیفیت', 'خوبه', 'قیمت', 'تبلت', 'a۷سامسونگ', '،', 'مرجوع']"
111,"['مغازه', 'کیفیت', 'جنس', 'قیمت', 'مناسب', 'میشه']"
112,['گرون']
113,"['کیفیت', 'درجه']"
114,"['طلق', 'معمولیه']"
115,[]
116,"['قیمت', 'روز', 'روز', 'داره', 'بالا', 'میره', 'رم', 'خوبیه', 'کار', 'حرفه\u200cای', 'عکاس']"
117,"['دوربین', 'پشت', 'کاور', 'دوربین', 'ایپد', 'یکسان', '!!']"
118,"['فعلا', 'از', 'راضی', '#هست', 'نظر', 'کیفیت', 'داره']"
119,"['محصول', 'قفل', 'اهنربایی', 'صورت', 'مشخصات', 'فن', 'ذکر', 'قفل', 'اهنربایی', '.', 'توجه', 'قیمت', 'بازار', 'گران', '.', 'امروز', 'دستم', 'مرجوع']"
120,"['دوربین', 'پشت', 'کاور', 'ای', 'پد', 'یکسان', 'درخواست', 'مرجوع', 'داد#ده', 'قبول']"
121,"['محافظت', 'دقیقا', 'همونطور', 'میخواستم', 'اهنربا', 'استند', 'طور', 'میکردی', 'بینش', 'اهنربا', 'وایسه', 'مشکل', 'با', 'داشت#دار', 'میذاشتمش', 'ایپدم', 'خودبه', 'قفل', 'میشد', 'تقریبا', 'دکمه', 'لاک', 'دیگه', 'چی', 'میزدی', 'عمل', 'نمیکرد', 'تماس', 'گرفت#گیر', 'گفتن', 'دکمشو', 'فشار', 'قرار', 'میده', 'نظره', 'خودم', 'جلو', 'سنسوری', 'میگرفت', 'مرجوع', 'جنس', 'ظاهر', 'چرم', 'براق', 'اصلا', 'سیلیکون', 'جا', 'برعکسه', 'عکس', 'گذاشتن', 'رنگه', 'طلا', 'واقعا', 'طلاییه', 'اون', 'رمگ', 'شنریه', 'عکسا', 'طلاییه']"
