body
گیفت کارت تقلبی و غیر اصل و بدونه پشتی بانی
من رنگ مشکی سفارش داده بودم ولی رنگی که فرستادن سفید بود.
قدرت ایستادگی خیلی ضعیف. 
به اندازه هزار تومن میشه استفاده کرد. پایه ها شل و وارفته
تا اونجایی که من میدونم شما وقتی هزینه کامل میدی، باید کالا هم به صورت کامل دریافت کنید. نه نصفه و نیمه و ناقص و با بی احترامی. اصطلاحات (بعدا براتون میفرستم) و (حالا هفته دیگه) و (فعلا موجود نداریم) اصلا قابل قبول نیست. در خریدتون، چه اکوانت و چه گیفت از رایان گیم شدیدا دقت کنید.
پشتیبانی خیلی ضعیفه
خیلی نیازه برای گوشی فقط کامل نمیپوشونه دوربینو
برخلاف قیمتش حتی تو تخفیف خیلی خوب نیست 
با کیفیت و عالیه. بخرید
خیلی خوب نیست
من توي اف خريدم بسيار محكم و حرفه اي
محافظ لنز خوبی است
محافظ خوبی بود ولی فکر نمیکردم انقد ضخامت داشته باشه ولی در کل خوب بود
"سایزش کوچیکتر از صفحه نمایشه
من که نتونستم تستفاده کنم"
اصلا به عنوان محافظ صفحه ننیشه روش حساب کرد
عالی باکیفیت 
فقط به اندازه ضخامتش فاصله میندازه که وقتی گوشی رو زمین میزارین رو لنز خط نیوفته که البته اگه کاورتون ضخیم باشه به این دیگه نیازی نیست
انگار یک سال استفاده شده. نخ کش و مستعمل
کالای فیک فرستادن برام. وقتی رسید دستم کلی تو ذوقم خورد. چیزی که تو عکسه با چیزی که تحویل گرفتم زمین تا آسمون فرق داشت. پس فرستادم.
نخرید اشغاله
برای مدل F3 نیست
"راضیم ازش
ممنون از دیجی کالا "
می‌تونه ارتقا داده بشه
من ۹۵۰۰۰ گرفتم ولی ۵۰۰۰ هم نمی ارزه . اصلا نگیرید. کیسه فریزر بکشید رو گوشی بهتره. متاسفم برای دیجی کالا که هر کی هر جنس خرابی رو به هر قیمتی توش میفروشه
خوب نیست
خیلی بد خیلی‌ بد سایزش هم درست نیست.
فقط ریختن پول در سطل زباله هست.بی کیفیت پلاستیکی.متاسفم اینجا سر گردنه شده
به درد نمیخوره اندازه هم فیت نیست
محافظ کل صفحه نیست و فقط بخشی از صفحه رو محافظت میکنه.
نه خوبه نه بده، جنس tpu خیلی معمولی هست که مخافظ میکنه از خط و خش ولی تو ساختش دقت نشده‌ سوراخ حفره دوربین وسط نبود
پول دور ریختن بود نخرید
مثل یک نایلون نازک بود،فوق العاده بی کیفیت
کیفیت گوشی رو میاره پایین خیلی ماته 
"بسیار بی کیفیت
چسب نامناسب
اندازه کوچک
ارزش خرید ندارد"
"اگه دنبال یه کیفیت خوب هستید برا یه مورد دیگه سفارش بدید
ضعیفترین کیفیت"
خیلی کیفیت پایینی داره، پشیمون میشید و محبور به خرید دوباره
