index,body
67,"['عدد', 'محافظ', 'گرفت#گیر', 'کدو', 'چسبندگی', 'نداره', 'ممکنه', 'زیر', 'حباب', 'بیفته', '.', 'عدد', 'پد', 'خشک', 'مرطوب', 'داره', '.', 'نصب', 'تمیز', 'بشه', '.']"
68,['باکیفیت']
69,[]
70,"['گوش', 'صفحه', 'گوش', 'پوشاند#پوشان', '.']"
71,"['قیمت', 'شگفت', 'انگیز', 'خوبه']"
72,['واقعا']
73,"['زود', 'خط', 'نیوفته', 'خوبه']"
74,['عااالی']
75,"['عالیه', 'خوبه']"
76,"['سلام', 'بازی', 'خوبیه', 'پشتیبان', 'ممنون', 'حوصله', 'پاسخگو', '#هست']"
77,"['واقعا', 'پشتیبان']"
78,"['ممنون', 'فروشنده', 'زود', 'کد', 'تحویل']"
79,"['کد', 'دیر', 'ارسال', 'مسولیت', 'پذیر', 'ممنون']"
80,"['عدد', 'گیفت', 'کارت', 'خرید#خر', 'موقع', 'دستم', 'کد', 'کارت', 'واتساپ', 'برام', 'فرستادن', 'پاسخدهی', 'پشتیبان', 'سریع', '.']"
81,"['گیفت', 'کارت', 'درست', 'پشتیبان', 'فروشنده', 'گیفت', 'کارت', 'محشر', 'واقعا']"
82,"['گیفت', 'کارت', '۳۰', 'دلار', 'ایکس', 'باکس']"
83,"['لطفا', 'رم', '۴', 'حافظ', '۶۴', 'موجود']"
84,"['تبلت', 'نظر', 'تبلت', 'رنج', 'قیمت', 'خودشه', '.', 'پردازنده', 'قوی', 'نسل', 'تبلت', 'بازی', 'زمان', 'استفاده', 'داغ', 'دید#بین', 'عملکرد', 'دوربین', 'تبلت', '#هست', '.', 'لطفا', 'زود', 'موجود', '.']"
85,"['نسل', 'محصول', 'tab', 'a۷', 'داشت#دار', 'بجز', 'پردازنده', 'اضافه', 'حسگر', 'انگشت', '(', 'بجا', 'فیس', 'لاک', ')', 'دیگه\u200cای', 'نداشته', 'پردازنده', 'نسل', 'اسنپدراگون', '۶۶۲', 'پردازنده', 'تبلت', 'یونیساک', 't', '۶۱۸', 'اخبار', 'شنید#شنو', 'ظاهرا', 'پردازنده', 'اسنپدراگون', '۶۶۲', 'قدرت', 'پردازش', 'داره', 'بنظرم', 'مسلما', 'سرعت', 'کمتر', 'مصرف', 'انرژی', 'داره', 'اگه', 'تبلت', 'خواست#خواه', 'خرید#خر', 'حتما', 'حتما', 'گلس', 'مات', '(', 'مشک', ')', 'گرفت#گیر', 'چشم', 'هاتون', 'کمتر', 'اذیت', 'شه']"
86,"['صفحه', 'شفافیت', 'داره', 'نصب', 'آسونه']"
87,"['سلام', '،', 'دقیقا', 'مزایا', 'داره', 'مث', 'شفافیت', 'جذب', 'آثار', 'انگشت', 'عالیه', 'قیمت', 'خرید', 'دلیل', 'کمتر']"
88,"['زیبا', 'مقوم', 'شفاف', 'قشنگ']"
89,"['زمان', 'گفت#گو', 'ارسال', 'توضیحات', 'داد#ده', 'محصول']"
90,[]
91,"['ارسال', 'موقع']"
92,"['حتما', 'خرید']"
93,"['عالیه', 'هرنظر', 'تمیز', 'براق']"
94,"['غول', 'تبلت\u200cهای', 'بازار']"
95,"['پابجی', 'گیم\u200cهای', 'خوبه', 'باتشکر']"
96,['عالیه']
97,"['هرجهت', 'عالییییییی']"
98,['#هست']
99,"['سلام', 'تبلت', 'دوربین', 'کار', 'راضی', 'بود#باش', 'اگه', 'هزینه', 'براتون', 'مشکل', 'نداره', 'حتما', 'خرید#خر', 'لذت', 'ببرید']"
100,"['خلاصه', 'عالیییییی']"
101,"['۳', 'روز', 'هستش', 'ipad', 'گرفت#گیر', 'هستش', 'فیلم', 'دیدن', 'داخل', 'لذت', 'داره', 'عالییی', 'هستش']"
102,"['سلام', '.', 'آیپد', 'بازی', 'کار', 'سنگین', '.', 'آیپد', 'مشکل', 'انجام', 'سنگین', 'بازی', 'برنامه', 'نداره', '.', 'درسته', 'قیمت', 'بالاست', 'واقعا', 'پول', 'خرید', 'کرد#کن', 'می\u200cارزه', '.', 'دوربین', '،', 'پردازنده', '،', 'صفحه', 'نمایش', '،', 'صدا', 'تو', 'همه', 'تبلت\u200cها', 'داره', '.', 'خلاصه', 'اگه', 'پول', 'خرید', 'محصول', 'اپل', 'داشت#دار', 'خرید', 'شک', 'داشت#دار', '،', 'بگم', 'واقعا', 'تبلت', 'شاهکار', '#هست', '،', '#هست', '.', 'امیدوار', 'کمکتون', 'کرد#کن']"
103,"['لطفا', 'موجود', 'میخوام', 'خرید#خر', '،', 'خواهشاT_T']"
104,"['لطفا', 'موجود', 'میخوایم', 'خرید#خر']"
105,"['لطفا', 'موجود', 'قصد', 'خرید', 'داشت#دار']"
106,"['تحقیق', 'نتیجه', 'رسید#رس', 'تبلت', 'دنیاست', 'حاضر', 'سال', '۲۰۲۱']"
107,"['ممنون', 'فروشنده', 'محترم', 'کالاشون', 'ارزش', 'قائلن', '""']"
108,"['سرعت', 'خوبه', 'بسته']"
109,"['کیفیت', 'داره']"
110,"['شیک', 'تمیز', 'میکنه']"
111,[]
112,"['نصب', 'گوش', 'واقعا', 'سرعت', 'شگفت', 'زد#زن', '…مث', 'مارک\u200cها', 'الک', 'سرعت', 'بزنن', 'سرعتشون', '۴۰', 'نباشه', '!']"
113,"['عالیه', 'سرعت', 'داره', 'انتقال', 'عکس', 'فیلم', 'کیفیت', 'برد#بر', 'Adata', 'گارانتی', 'مادام', 'العمر', 'قیمت', 'مناسب', 'نسب', 'بقیه', 'اس', 'دی', 'کارت', 'دیگه', 'داره']"
114,"['کاشت#کار', 'واقعا', 'انداخت#انداز', 'مانیتورم', 'تمیز', 'تمیز', 'صفحه', 'مانیتورم', 'ماته', 'هیچ', 'تمیز', 'نمیشد', 'ولک', 'میموند', 'الان', 'اوکی']"
115,['عالیییییی']
116,[]
117,"['چندماهی', '#هست', 'استفاده', 'میکنم', 'برد#بر', 'معتبریه', 'مشکل', 'نداشته', 'خوندن', 'اطلاعات', 'سرعت', '…']"
118,"['وقتیه', 'دارمش', 'الان', 'راضی', 'ام']"
119,"['رم', 'سرعت', 'داره', '۵۸', 'g', 'ظرفیت', 'داره']"
120,"['کارت', 'حافظه\u200cرو', 'بهمن', '۹۷', 'خرید#خر', 'الان', 'مشکل', 'نداشته', 'راضی', 'بود#باش', 'از']"
121,"['حرف', 'نداره']"
122,"['کالا', 'کیفیت']"
123,[]
124,['عالیه']
125,"['کالا', 'کیفیت']"
126,['کیفیت']
127,['عالیه']
128,['عالیه']
129,[]
130,"['کالا', 'کیفیت']"
131,['عالیه']
132,[]
133,['قشنگ']
134,['کیفیت']
135,[]
136,['عالیه']
137,[]
138,['قشنگ']
139,"['نصب', 'راحت']"
140,[]
141,"['جنس', 'داره', 'قیمت', 'ارزش', 'خرید', 'داره']"
142,"['باکیفیت', 'پیشنهاد', 'میشود', 'قیمت', 'خوبه']"
143,"['کیفیت', '،', 'راحت', 'افتاد#افت', '.', 'حباب', 'گرفت#گیر', '.']"
144,"['سالم', 'دستم']"
145,"['جنس', 'خوبه', 'راحت', 'نصب', 'میشه']"
146,"['جنس', 'داره']"
147,"['پیشنهاد', 'میکنم', 'خرید#خر', 'کیفیت']"
148,"['تبلتم', 'نصب']"
149,"['کیفیت', 'خوبه', 'یکم', 'گرانه']"
150,"['قیمتایی', 'گرونه', 'ارزون', 'نمیدونی', 'کدو', 'بهتره', 'میخواد', 'گرون\u200cتر', 'خرید#خر', 'ارزونا', 'معلوم', 'چیه', 'خوش', 'قیمته', 'کیفیت']"
151,"['قیمت', 'عالی-', 'شگفت', 'انگیز', 'خرید', 'راضی', 'هستم/', 'ممنون', 'دیجی', 'کالا']"
152,['قشنگ']
153,['چسبندگی']
154,"['ممنون', 'دیجی', 'کالا']"
155,['جنس']
156,"['هواگیری', 'شکستن', 'نصب']"
157,"['خرید', 'راضیم']"
158,['کیفیت']
159,['عالیه']
160,"['توجه', 'قیمت', 'مناسب', '#هست']"
161,"['ضحیم', 'انتظار', 'بالا', 'داشت#دار', 'کلا', 'مشکل', 'داشت#دار']"
162,"['شکست#شکن', 'واقعا', 'ممنون', 'دیجی', 'کالا', 'عزیز']"
163,['درکل']
164,"['ارزش', 'خرید', 'داره']"
165,"['نصب', 'راحت', 'کیفیت']"
166,"['میاد', 'موقع', 'نصب', 'سطح', 'شدت', 'تمیز', 'بشه', 'بشینه', '…', 'لبه', 'قرار', 'گرفت#گیر', 'دقت']"
167,"['مقاوم', 'شفاف']"
168,['ارزان']
169,"['گلس', 'برد#بر', 'ریمکس', '#هست', 'کیفیت', 'مناسب', 'داره', '،', 'کاش', 'قیمت', 'یکم', 'پایین']"
170,['کیفیت']
171,"['گلس', 'مقاومیه']"
172,"['صفحه', 'فیت', 'میشد']"
173,"['خوبه', 'پیشنهاد', 'میشه']"
174,"['بعنوان', 'موبایل', 'فروش', 'سالهاست', 'زمینه', 'فعالیت', 'داشت#دار', 'عرض', 'کرد#کن', 'بهترین', '#هست', '.', 'دوستان', 'گفت#گو', 'دوربین', 'سنسورها', 'درست', 'عرض', 'میکنم', 'اصلا', 'اینطور', 'دقیق', '#هست', '،', 'راحت', 'چسبید', 'اصلا', 'حباب', 'نموند', '،', 'حتما', 'توصیه', 'میکنم', '.']"
175,"['جنس', 'سایز']"
176,[]
177,['کیفیت']
178,"['خوبه', 'اندازه', 'اشم', 'مناسبه']"
179,"['پیشنهاد', 'میکنم']"
180,['استفاده']
181,"['محافظ', '#هست', '،', 'دستمال', 'تمیز', 'صفحه', 'نصب', 'نصب', 'راحت', 'انجام', '.', 'نصب', 'عملکرد', 'تاچ', 'تبلت', 'کندی', 'کاهش', 'حساسیت', 'ایجاد', 'کرد#کن', '.']"
182,"['ارزش', 'خرید', 'بالاست']"
183,"['.', 'سایز', 'تبلت', 'هستش', 'تاچ', '.', 'همراه', 'پد', 'الکل', 'پد', 'خشک']"
184,"['تلبتم', 'همراه', 'بااین', 'دیجی', 'کالا', 'باهم', 'گرفت#گیر']"
185,"['محصول', 'شکسته', 'غیرقابل', 'استفاده', 'داغون', 'بسته', 'پست', 'قرارداده', 'اصلا', 'استفاده', '.']"
186,"['نصب', 'راحت', 'لوازم', 'همراه', 'نصب', 'تمیز', 'و\u200cپارچه', 'نداره']"
187,"['انگشت', 'ماند#مان']"
188,"['قیمت', 'کیفیت', 'بسیارخوب']"
189,"['…', '.']"
190,['گران']
191,"['باشه', 'عملکرد', 'خوشو', 'نشون', 'میده']"
192,"['ارزش', 'خرید']"
193,"['مدلهای', 'دیگه', 'تعریف', 'تره']"
194,"['قیمت', '#هست']"
195,"['محافظ', 'شکست#شکن', 'حتا', 'یه', 'خشم', 'داشت#دار']"
196,[]
197,['کیفیت']
198,"['کاش', 'مینوشتید', 'گوش', 'مناسبه']"
199,"['دوربین', 'شبکه', 'شیائومی', 'خرید#خر', '…کیفیت', 'کداک', 'همگان', 'معلوم', '#هست']"
200,"['رم', '#هست', 'سرعت', 'داره', 'قیمت', 'عالیه', '.']"
201,"['راضی', '#هست', 'از']"
202,"['کار', 'بنداره']"
203,"['خوبه', 'افزایش', 'حافظه', 'گوش']"
204,"['حرف', 'نداره', 'از', 'راضی', 'بود#باش']"
205,['قیمت']
206,[]
207,"['خوبه', 'ممنون', 'راضی', '#هست']"
208,"['رم', '#هست', 'سرعت', 'داره', 'قیمت', 'عالیه', '.']"
209,"['مشکل', 'داشت#دار', 'الان', 'وقت', 'کار', 'کردنه']"
210,"['خرید#خر', 'لعنت', 'شک', 'کرد#کن']"
211,"['وقته', 'داشت#دار', 'استفاده', 'میکنم', 'مشکل']"
212,"['خوبه', 'افزایش', 'حافظه', 'گوش']"
213,"['سرعت', 'خوبه', 'ایراد', 'کار', 'میکنه']"
214,"['کیفیت', 'دوام', 'مقرون', 'صرفه']"
215,"['خوبه', 'وقیمت']"
216,[]
217,"['کیفیت', 'دادشه']"
218,"['خوبه', 'سیلیکون', 'پاور', 'لولش', 'کمتره']"
219,"['خوشحال', 'خرید#خر', 'دقیقا', 'انتخاب', 'نظرات', 'درست', 'بخرین', 'شک', 'کرد#کن']"
220,"['کدک', 'بهترینه']"
221,"['دوربین', 'شبکه', 'شیائومی', 'خرید#خر', '…کیفیت', 'کداک', 'همگان', 'معلوم', '#هست']"
222,"['خوبه', '.', 'امیدوار', 'دوام', 'باشه']"
223,"['معمولا', 'کارت', 'حافظه', 'ساخت', 'تایوان', 'خوبن', 'میاد', 'خراب', 'بشه', 'خودم', 'سال', 'رم', '(', 'سیلیکون', 'پاورsp', ')', 'گرفت#گیر', 'الانم', 'مونده', '.']"
224,"['جنس', 'کیفیت', 'داره']"
225,"['خوبه', 'سرعت', 'خوبه']"
226,"['ام', 'آی', 'تی', 'سری', 'گارانتی', 'مادام', 'متین', 'خریدمش', 'قیمت', 'مناسب', 'گارانتی', '۲', 'ساله', 'آی', 'تی', 'واسم', 'ارسال', '.', 'اینبار', 'داخل', 'پک', 'همراه', 'کارت', 'حافظه', 'عدد', 'آداپتور', 'کداک', 'خوشحال', 'قیمت', 'پک', 'کارت', 'حافظه', 'همراه', 'آداپتور', 'معمولا', 'میباشد', '.', 'بابت', 'خرید', 'رم', 'کداک', 'خیال', 'راحته', 'برد#بر', 'معتبر', 'امریکا', 'مونتاژ', 'ساخت', 'تایوان', 'میباشد', '.', 'سرعت', 'کیفیت', 'محتوا', '!']"
227,"['درکل', 'قیمت', 'سرعت', 'داره', 'کلاس', 'بالاس', 'کیفیت', 'خوبه', 'عمر', 'کارکرد', 'خوبه', 'توصیه', 'میکنم', 'خرید']"
228,"['سرعت', 'گارانتیه']"
229,"['کار', 'بنداره']"
230,"['جنس', 'کیفیت', 'داره']"
